2026-08-31 02:57:01 - ========== 开始导出 eBay 卖家分配记录 ==========
2026-08-31 02:57:01 - 环境: pro, 每页数量: 500
2026-08-31 02:57:01 - [第1步] 请求第1页，获取分页信息...
2026-08-31 02:57:04 - 总记录数: 25269, 总页数: 51, 第1页获取: 500 条
2026-08-31 02:57:04 - [第2步] 开始拉取第2~51页...
2026-08-31 02:57:04 -   正在拉取第 2/51 页...
2026-08-31 02:57:05 -   第 2 页获取 500 条，累计: 1000 条
2026-08-31 02:57:05 -   正在拉取第 3/51 页...
2026-08-31 02:57:07 -   第 3 页获取 500 条，累计: 1500 条
2026-08-31 02:57:07 -   正在拉取第 4/51 页...
2026-08-31 02:57:08 -   第 4 页获取 500 条，累计: 2000 条
2026-08-31 02:57:08 -   正在拉取第 5/51 页...
2026-08-31 02:57:10 -   第 5 页获取 500 条，累计: 2500 条
2026-08-31 02:57:10 -   正在拉取第 6/51 页...
2026-08-31 02:57:12 -   第 6 页获取 500 条，累计: 3000 条
2026-08-31 02:57:12 -   正在拉取第 7/51 页...
2026-08-31 02:57:14 -   第 7 页获取 500 条，累计: 3500 条
2026-08-31 02:57:14 -   正在拉取第 8/51 页...
2026-08-31 02:57:16 -   第 8 页获取 500 条，累计: 4000 条
2026-08-31 02:57:16 -   正在拉取第 9/51 页...
2026-08-31 02:57:19 -   第 9 页获取 500 条，累计: 4500 条
2026-08-31 02:57:19 -   正在拉取第 10/51 页...
2026-08-31 02:57:20 -   第 10 页获取 500 条，累计: 5000 条
2026-08-31 02:57:20 -   正在拉取第 11/51 页...
2026-08-31 02:57:22 -   第 11 页获取 500 条，累计: 5500 条
2026-08-31 02:57:22 -   正在拉取第 12/51 页...
2026-08-31 02:57:24 -   第 12 页获取 500 条，累计: 6000 条
2026-08-31 02:57:24 -   正在拉取第 13/51 页...
2026-08-31 02:57:25 -   第 13 页获取 500 条，累计: 6500 条
2026-08-31 02:57:25 -   正在拉取第 14/51 页...
2026-08-31 02:57:28 -   第 14 页获取 500 条，累计: 7000 条
2026-08-31 02:57:28 -   正在拉取第 15/51 页...
2026-08-31 02:57:29 -   第 15 页获取 500 条，累计: 7500 条
2026-08-31 02:57:29 -   正在拉取第 16/51 页...
2026-08-31 02:57:31 -   第 16 页获取 500 条，累计: 8000 条
2026-08-31 02:57:31 -   正在拉取第 17/51 页...
2026-08-31 02:57:33 -   第 17 页获取 500 条，累计: 8500 条
2026-08-31 02:57:33 -   正在拉取第 18/51 页...
2026-08-31 02:57:34 -   第 18 页获取 500 条，累计: 9000 条
2026-08-31 02:57:34 -   正在拉取第 19/51 页...
2026-08-31 02:57:36 -   第 19 页获取 500 条，累计: 9500 条
2026-08-31 02:57:36 -   正在拉取第 20/51 页...
2026-08-31 02:57:38 -   第 20 页获取 500 条，累计: 10000 条
2026-08-31 02:57:38 -   正在拉取第 21/51 页...
2026-08-31 02:57:40 -   第 21 页获取 500 条，累计: 10500 条
2026-08-31 02:57:40 -   正在拉取第 22/51 页...
2026-08-31 02:57:42 -   第 22 页获取 500 条，累计: 11000 条
2026-08-31 02:57:42 -   正在拉取第 23/51 页...
2026-08-31 02:57:44 -   第 23 页获取 500 条，累计: 11500 条
2026-08-31 02:57:44 -   正在拉取第 24/51 页...
2026-08-31 02:57:45 -   第 24 页获取 500 条，累计: 12000 条
2026-08-31 02:57:45 -   正在拉取第 25/51 页...
2026-08-31 02:57:47 -   第 25 页获取 500 条，累计: 12500 条
2026-08-31 02:57:47 -   正在拉取第 26/51 页...
2026-08-31 02:57:49 -   第 26 页获取 500 条，累计: 13000 条
2026-08-31 02:57:49 -   正在拉取第 27/51 页...
2026-08-31 02:57:52 -   第 27 页获取 500 条，累计: 13500 条
2026-08-31 02:57:52 -   正在拉取第 28/51 页...
2026-08-31 02:57:55 -   第 28 页获取 500 条，累计: 14000 条
2026-08-31 02:57:55 -   正在拉取第 29/51 页...
2026-08-31 02:57:58 -   第 29 页获取 500 条，累计: 14500 条
2026-08-31 02:57:58 -   正在拉取第 30/51 页...
2026-08-31 02:58:00 -   第 30 页获取 500 条，累计: 15000 条
2026-08-31 02:58:00 -   正在拉取第 31/51 页...
2026-08-31 02:58:01 -   第 31 页获取 500 条，累计: 15500 条
2026-08-31 02:58:01 -   正在拉取第 32/51 页...
2026-08-31 02:58:02 -   第 32 页获取 500 条，累计: 16000 条
2026-08-31 02:58:02 -   正在拉取第 33/51 页...
2026-08-31 02:58:04 -   第 33 页获取 500 条，累计: 16500 条
2026-08-31 02:58:04 -   正在拉取第 34/51 页...
2026-08-31 02:58:05 -   第 34 页获取 500 条，累计: 17000 条
2026-08-31 02:58:05 -   正在拉取第 35/51 页...
2026-08-31 02:58:07 -   第 35 页获取 500 条，累计: 17500 条
2026-08-31 02:58:07 -   正在拉取第 36/51 页...
2026-08-31 02:58:09 -   第 36 页获取 500 条，累计: 18000 条
2026-08-31 02:58:09 -   正在拉取第 37/51 页...
2026-08-31 02:58:11 -   第 37 页获取 500 条，累计: 18500 条
2026-08-31 02:58:11 -   正在拉取第 38/51 页...
2026-08-31 02:58:13 -   第 38 页获取 500 条，累计: 19000 条
2026-08-31 02:58:13 -   正在拉取第 39/51 页...
2026-08-31 02:58:15 -   第 39 页获取 500 条，累计: 19500 条
2026-08-31 02:58:15 -   正在拉取第 40/51 页...
2026-08-31 02:58:16 -   第 40 页获取 500 条，累计: 20000 条
2026-08-31 02:58:16 -   正在拉取第 41/51 页...
2026-08-31 02:58:17 -   第 41 页获取 500 条，累计: 20500 条
2026-08-31 02:58:17 -   正在拉取第 42/51 页...
2026-08-31 02:58:19 -   第 42 页获取 500 条，累计: 21000 条
2026-08-31 02:58:19 -   正在拉取第 43/51 页...
2026-08-31 02:58:21 -   第 43 页获取 500 条，累计: 21500 条
2026-08-31 02:58:21 -   正在拉取第 44/51 页...
2026-08-31 02:58:23 -   第 44 页获取 500 条，累计: 22000 条
2026-08-31 02:58:23 -   正在拉取第 45/51 页...
2026-08-31 02:58:25 -   第 45 页获取 500 条，累计: 22500 条
2026-08-31 02:58:25 -   正在拉取第 46/51 页...
2026-08-31 02:58:28 -   第 46 页获取 500 条，累计: 23000 条
2026-08-31 02:58:28 -   正在拉取第 47/51 页...
2026-08-31 02:58:30 -   第 47 页获取 500 条，累计: 23500 条
2026-08-31 02:58:30 -   正在拉取第 48/51 页...
2026-08-31 02:58:32 -   第 48 页获取 500 条，累计: 24000 条
2026-08-31 02:58:32 -   正在拉取第 49/51 页...
2026-08-31 02:58:33 -   第 49 页获取 500 条，累计: 24500 条
2026-08-31 02:58:33 -   正在拉取第 50/51 页...
2026-08-31 02:58:35 -   第 50 页获取 500 条，累计: 25000 条
2026-08-31 02:58:35 -   正在拉取第 51/51 页...
2026-08-31 02:58:35 -   第 51 页获取 269 条，累计: 25269 条
2026-08-31 02:58:35 - 
2026-08-31 02:58:35 - ========== 数据拉取完成 ==========
2026-08-31 02:58:35 - 总计获取: 25269 条记录
2026-08-31 02:58:35 - 
2026-08-31 02:58:35 - [第3步] 导出 XLSX 文件（大数据量，请耐心等待）...
2026-08-31 02:58:39 - 导出成功！耗时: 3.5s, 文件大小: 3.72 MB
2026-08-31 02:58:39 - 文件路径: /Users/clouddre/ux168work/03_项目代码/php/ShallowDream-LeetCode-PHP/pa-temp-fix-system.com/php/utils/../export/uploads/eBay卖家分配记录_20260831025835.xlsx
2026-08-31 02:58:39 - ========== 导出完成 ==========
